loggingSample(N),accelerometerAccelerationX(G),SQR_accelerometerAccelerationX(G),accelerometerAccelerationY(G),SQR_accelerometerAccelerationY(G),accelerometerAccelerationZ(G),SQR_accelerometerAccelerationZ(G),TOTAL_ACCELERATION,accelerometerTimestamp_sinceReboot(s),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84)
1,0.232711792,0.054154778,-0.52973938,0.280623811,-0.825576782,0.681577023,1.008144638,1374607.395,1537498517,37.87156259,-122.2584521
2,0.180923462,0.032733299,-0.501342773,0.251344576,-0.852966309,0.727551524,1.005797892,1374607.455,1537498517,37.87156259,-122.2584521
3,0.154922485,0.024000976,-0.505203247,0.255230321,-0.8230896,0.67747649,0.978114404,1374607.515,1537498517,37.87156259,-122.2584521
4,0.163665771,0.026786485,-0.498306274,0.248309143,-0.858642578,0.737267077,1.006162365,1374607.574,1537498517,37.87156259,-122.2584521
5,0.13508606,0.018248244,-0.467330933,0.218398201,-0.883666992,0.780867353,1.008718889,1374607.634,1537498517,37.87164703,-122.2584493
6,0.067352295,0.004536332,-0.569580078,0.324421465,-0.90057373,0.811033043,1.067703536,1374607.694,1537498517,37.87164703,-122.2584493
7,0.055969238,0.003132556,-0.504257202,0.254275326,-0.842132568,0.709187262,0.983155707,1374607.753,1537498517,37.87164703,-122.2584493
8,0.030105591,0.000906347,-0.500244141,0.250244201,-0.856643677,0.733838389,0.992466088,1374607.813,1537498517,37.87164703,-122.2584493
9,0.076400757,0.005837076,-0.548934937,0.301329565,-1.026275635,1.053241679,1.166365431,1374607.873,1537498517,37.87164703,-122.2584493
10,-0.071777344,0.005151987,-0.34324646,0.117818132,-0.893188477,0.797785655,0.959560199,1374607.932,1537498517,37.87164703,-122.2584493
11,-0.162017822,0.026249775,-0.42137146,0.177553907,-0.911361694,0.830580137,1.017046616,1374607.992,1537498517,37.87164703,-122.2584493
12,-0.092437744,0.008544737,-0.347671509,0.120875478,-0.881637573,0.77728481,0.952210599,1374608.051,1537498517,37.87164703,-122.2584493
