loggingSample(N),accelerometerAccelerationX(G),SQR_accelerometerAccelerationX(G),accelerometerAccelerationY(G),SQR_accelerometerAccelerationY(G),accelerometerAccelerationZ(G),SQR_accelerometerAccelerationZ(G),TOTAL_ACCELERATION,accelerometerTimestamp_sinceReboot(s),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84)
6776,0.816192627,0.666170404,0.809066772,0.654589042,-0.429077148,0.184107199,1.226730062,1375011.535,1537498921,37.85971048,-122.2557858
6777,0.43359375,0.18800354,1.142242432,1.304717773,0.634963989,0.403179267,1.376917057,1375011.594,1537498921,37.85971048,-122.2557858
6778,0.068450928,0.00468553,-0.218521118,0.047751479,0.29196167,0.085241617,0.371050704,1375011.654,1537498921,37.85971048,-122.2557858
6779,0.342269897,0.117148682,0.683853149,0.467655129,-0.547210693,0.299439543,0.940342147,1375011.713,1537498921,37.85971048,-122.2557858
6780,0.191131592,0.036531285,0.729721069,0.532492839,-0.242965698,0.05903233,0.792500129,1375011.773,1537498921,37.85971048,-122.2557858
6781,-0.115081787,0.013243818,0.504592896,0.254613991,-0.46661377,0.21772841,0.696840167,1375011.833,1537498921,37.85971048,-122.2557858
6782,-0.02355957,0.000555053,0.393203735,0.154609177,-0.126724243,0.016059034,0.413791329,1375011.892,1537498921,37.85971048,-122.2557858
6783,0.392242432,0.153854125,1.120574951,1.255688221,-0.199127197,0.039651641,1.203824733,1375011.952,1537498921,37.85971048,-122.2557858
6784,0.38583374,0.148867675,1.429779053,2.04426814,0.12953186,0.016778503,1.486578057,1375012.012,1537498921,37.85971048,-122.2557858
6785,0.030990601,0.000960417,1.07093811,1.146908435,-0.153793335,0.02365239,1.082368349,1375012.071,1537498921,37.85971048,-122.2557858
6786,0.414810181,0.172067486,1.820022583,3.312482203,-0.850082397,0.722640082,2.051143528,1375012.131,1537498921,37.85971048,-122.2557858
6787,0.283676147,0.080472156,0.118927002,0.014143632,0.245758057,0.060397023,0.393716663,1375012.191,1537498921,37.85971048,-122.2557858
6788,0.541061401,0.29274744,0.440612793,0.194139633,-0.771057129,0.594529096,1.039911616,1375012.25,1537498921,37.85971048,-122.2557858
6789,0.579177856,0.335446989,1.29510498,1.677296909,-0.495910645,0.245927368,1.502887642,1375012.31,1537498921,37.85971048,-122.2557858
6790,0.436889648,0.190872565,0.793167114,0.629114071,0.332733154,0.110711352,0.964726898,1375012.37,1537498921,37.85971048,-122.2557858
6791,0.571380615,0.326475807,0.918060303,0.84283472,-0.350341797,0.122739375,1.13668373,1375012.429,1537498921,37.85971048,-122.2557858
6792,0.470657349,0.22151834,1.20211792,1.445087494,0.342880249,0.117566865,1.335729276,1375012.489,1537498921,37.85971048,-122.2557858
6793,-0.09336853,0.008717682,0.117660522,0.013843998,-0.382522583,0.146323527,0.410956454,1375012.549,1537498922,37.85964568,-122.2557793
6794,0.226455688,0.051282179,1.056884766,1.117005409,-1.026657104,1.054024809,1.49074223,1375012.608,1537498922,37.85964568,-122.2557793
6795,0.483062744,0.233349615,1.004440308,1.008900332,-0.730514526,0.533651473,1.332629513,1375012.668,1537498922,37.85964568,-122.2557793
6796,0.088058472,0.007754294,-0.055603027,0.003091697,0.194824219,0.037956476,0.220912805,1375012.728,1537498922,37.85964568,-122.2557793
6797,-0.02192688,0.000480788,0.492553711,0.242609158,-0.100463867,0.010092989,0.503172868,1375012.787,1537498922,37.85964568,-122.2557793
6798,0.182037354,0.033137598,1.818313599,3.306264344,-0.742828369,0.551793986,1.972611449,1375012.847,1537498922,37.85964568,-122.2557793
6799,0.084243774,0.007097013,1.301727295,1.694493951,-0.613327026,0.376170041,1.441444069,1375012.906,1537498922,37.85964568,-122.2557793
6800,0.731582642,0.535213162,1.17010498,1.369145664,-0.643554688,0.414162636,1.52266919,1375012.966,1537498922,37.85964568,-122.2557793
6801,0.405807495,0.164679723,0.587768555,0.345471874,-0.35887146,0.128788725,0.799337427,1375013.026,1537498922,37.85964568,-122.2557793
6802,0.477111816,0.227635685,1.336364746,1.785870734,0.167434692,0.028034376,1.42882497,1375013.085,1537498922,37.85964568,-122.2557793
6803,0.270065308,0.072935271,0.909988403,0.828078894,0.135238647,0.018289492,0.958803241,1375013.145,1537498922,37.85964568,-122.2557793
6804,0.564437866,0.318590105,0.683731079,0.467488188,-0.280410767,0.078630198,0.929897033,1375013.205,1537498922,37.85964568,-122.2557793
6805,0.617889404,0.381787316,0.536132813,0.287438393,-0.840881348,0.707081441,1.173161178,1375013.264,1537498922,37.85964568,-122.2557793
