loggingSample(N),accelerometerAccelerationX(G),SQR_accelerometerAccelerationX(G),accelerometerAccelerationY(G),SQR_accelerometerAccelerationY(G),accelerometerAccelerationZ(G),SQR_accelerometerAccelerationZ(G),TOTAL_ACCELERATION,accelerometerTimestamp_sinceReboot(s),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84)
19349,0.277191162,0.07683494,1.044311523,1.090586557,-0.209945679,0.044077188,1.10068101,1375747.804,1537499657,37.81573335,-122.2641235
19350,0.112411499,0.012636345,0.688934326,0.474630506,-0.102462769,0.010498619,0.70552496,1375747.863,1537499657,37.81573335,-122.2641235
19351,0.126327515,0.015958641,0.773757935,0.598701342,-0.454833984,0.206873953,0.906385093,1375747.923,1537499657,37.81573335,-122.2641235
19352,0.266357422,0.070946276,1.2003479,1.440835081,-0.440002441,0.193602148,1.305903329,1375747.983,1537499657,37.81573335,-122.2641235
19353,-0.01763916,0.00031114,0.520736694,0.271166704,-0.039321899,0.001546212,0.522517039,1375748.042,1537499657,37.81573335,-122.2641235
19354,0.203659058,0.041477012,1.361099243,1.852591149,-0.365615845,0.133674946,1.423988451,1375748.102,1537499657,37.81573335,-122.2641235
19355,0.229598999,0.0527157,1.11505127,1.243339335,-0.314544678,0.098938354,1.181098383,1375748.161,1537499657,37.81573335,-122.2641235
19356,0.223449707,0.049929772,0.595703125,0.354862213,-0.12260437,0.015031832,0.647938127,1375748.221,1537499657,37.81573335,-122.2641235
19357,0.070739746,0.005004112,0.676208496,0.45725793,-0.015304565,0.00023423,0.680070784,1375748.281,1537499657,37.81573335,-122.2641235
19358,0.321243286,0.103197249,1.395065308,1.946207214,-0.439422607,0.193092228,1.497496808,1375748.34,1537499657,37.81573335,-122.2641235
19359,0.290237427,0.084237764,1.273422241,1.621604204,-0.415924072,0.172992834,1.37070595,1375748.4,1537499657,37.81573335,-122.2641235
19360,0.172592163,0.029788055,0.2215271,0.049074256,0.014404297,0.000207484,0.281193518,1375748.46,1537499657,37.81573335,-122.2641235
19361,0.194137573,0.037689397,0.402404785,0.161929611,-0.244628906,0.059843302,0.50937443,1375748.519,1537499658,37.81571016,-122.2641379
19362,0.290908813,0.084627937,0.846054077,0.715807501,-0.42024231,0.176603599,0.988452851,1375748.579,1537499658,37.81571016,-122.2641379
19363,0.462249756,0.213674837,1.238800049,1.534625561,-0.261413574,0.068337057,1.347826938,1375748.639,1537499658,37.81571016,-122.2641379
19364,0.289901733,0.084043015,0.529418945,0.280284419,0.094161987,0.00886648,0.610895993,1375748.698,1537499658,37.81571016,-122.2641379
19365,0.378479004,0.143246356,1.12348938,1.262228387,-0.235977173,0.055685226,1.208784501,1375748.758,1537499658,37.81571016,-122.2641379
19366,0.418075562,0.174787176,1.443374634,2.083330334,-0.16835022,0.028341797,1.512104264,1375748.818,1537499658,37.81571016,-122.2641379
19367,0.198501587,0.03940288,0.629959106,0.396848475,0.070495605,0.00496963,0.664244673,1375748.877,1537499658,37.81571016,-122.2641379
19368,0.229873657,0.052841898,0.782806396,0.612785854,-0.188476563,0.035523415,0.837347698,1375748.937,1537499658,37.81571016,-122.2641379
19369,0.286590576,0.082134158,1.083740234,1.174492895,-0.361618042,0.130767608,1.177877184,1375748.997,1537499658,37.81571016,-122.2641379
19370,0.155776978,0.024266467,0.921691895,0.849515949,-0.345123291,0.119110086,0.996439914,1375749.056,1537499658,37.81571016,-122.2641379
19371,0.109008789,0.011882916,0.789642334,0.623535016,-0.130722046,0.017088253,0.80777855,1375749.116,1537499658,37.81571016,-122.2641379
19372,0.217819214,0.04744521,1.306182861,1.706113666,-0.205657959,0.042295196,1.3400948,1375749.176,1537499658,37.81571016,-122.2641379
